borough,date,count
STATEN ISLAND,2018-10-17,4
BROOKLYN,2018-11-11,41
BRONX,2018-11-12,65
QUEENS,2018-12-04,44
BROOKLYN,2019-02-11,33
STATEN ISLAND,2019-02-17,4
BRONX,2019-02-26,38
BROOKLYN,2019-04-01,95
QUEENS,2019-04-23,24
BRONX,2019-06-07,51
BROOKLYN,2019-09-01,35
BRONX,2019-09-26,27
BROOKLYN,2019-10-16,28
STATEN ISLAND,2019-11-30,2
QUEENS,2018-02-28,27
QUEENS,2018-04-03,57
BRONX,2018-04-10,45
BRONX,2018-05-12,80
MANHATTAN,2018-02-12,98
MANHATTAN,2018-02-26,112
MANHATTAN,2018-04-19,141
QUEENS,2018-05-19,20
STATEN ISLAND,2018-05-18,4
BRONX,2018-06-17,39
BRONX,2018-06-27,37
STATEN ISLAND,2018-07-07,6
BROOKLYN,2018-08-25,75
MANHATTAN,2018-09-10,48
MANHATTAN,2018-10-29,73
QUEENS,2018-12-13,19
BRONX,2018-12-17,35
QUEENS,2018-12-21,10
BROOKLYN,2019-02-03,36
BRONX,2019-06-01,60
BROOKLYN,2019-09-19,63
QUEENS,2019-09-28,23
BROOKLYN,2019-10-24,50
BROOKLYN,2019-12-03,13
BRONX,2019-12-12,19
BROOKLYN,2019-12-17,7
QUEENS,2019-12-22,19
MANHATTAN,2018-07-11,165
QUEENS,2018-08-08,33
MANHATTAN,2018-08-19,21
QUEENS,2018-09-06,18
STATEN ISLAND,2018-10-12,6
QUEENS,2018-12-03,28
QUEENS,2018-12-08,39
BROOKLYN,2018-12-17,35
BRONX,2019-01-04,44
STATEN ISLAND,2019-04-10,23
BROOKLYN,2019-04-23,108
QUEENS,2019-07-31,50
QUEENS,2019-08-04,33
MANHATTAN,2019-08-29,42
MANHATTAN,2019-10-12,24
QUEENS,2019-11-05,4
BROOKLYN,2019-11-11,24
BRONX,2018-01-09,54
MANHATTAN,2018-03-14,63
MANHATTAN,2018-04-14,39
QUEENS,2018-06-06,90
BRONX,2018-06-15,97
MANHATTAN,2018-06-24,26
BRONX,2018-07-22,54
QUEENS,2018-08-09,12
MANHATTAN,2018-09-29,30
BRONX,2018-10-05,37
BRONX,2018-10-12,27
BROOKLYN,2018-11-03,48
MANHATTAN,2019-02-13,90
BROOKLYN,2019-03-06,58
BRONX,2019-03-07,40
QUEENS,2019-04-24,26
MANHATTAN,2019-06-25,48
BROOKLYN,2019-10-30,18
QUEENS,2019-11-12,3
BRONX,2019-12-20,25
BROOKLYN,2018-09-01,68
BROOKLYN,2018-09-06,43
MANHATTAN,2018-12-01,21
MANHATTAN,2018-12-09,21
BRONX,2019-05-22,99
QUEENS,2019-06-20,92
BRONX,2019-07-26,40
QUEENS,2019-08-19,2
BRONX,2019-08-25,21
BROOKLYN,2018-01-10,74
QUEENS,2018-02-11,25
QUEENS,2018-04-01,19
BRONX,2018-06-05,36
MANHATTAN,2018-02-01,74
BRONX,2018-02-11,57
BROOKLYN,2018-03-03,53
BRONX,2018-03-21,36
STATEN ISLAND,2018-04-19,7
BRONX,2018-05-19,44
BROOKLYN,2018-06-02,79
QUEENS,2018-06-17,11
MANHATTAN,2018-06-30,60
MANHATTAN,2018-08-02,68
QUEENS,2018-08-14,25
STATEN ISLAND,2018-09-10,8
BROOKLYN,2018-11-01,64
STATEN ISLAND,2018-12-03,2
BROOKLYN,2018-12-22,24
QUEENS,2019-01-02,29
BROOKLYN,2019-02-17,37
BRONX,2019-03-30,39
MANHATTAN,2019-04-19,78
STATEN ISLAND,2019-05-06,5
BROOKLYN,2019-05-18,43
BROOKLYN,2019-06-12,110
MANHATTAN,2019-08-02,102
BRONX,2019-10-23,43
MANHATTAN,2019-11-10,8
STATEN ISLAND,2018-02-13,8
QUEENS,2018-09-30,14
MANHATTAN,2019-01-07,11
QUEENS,2019-01-29,29
BRONX,2019-05-24,98
BRONX,2019-06-26,44
MANHATTAN,2019-07-23,129
MANHATTAN,2019-08-03,21
QUEENS,2019-09-20,57
BRONX,2018-07-01,88
BROOKLYN,2018-09-07,40
BROOKLYN,2018-09-24,19
BRONX,2018-09-29,60
QUEENS,2018-10-30,115
STATEN ISLAND,2018-11-11,5
MANHATTAN,2019-01-15,64
QUEENS,2019-03-29,27
QUEENS,2019-07-19,51
MANHATTAN,2019-09-08,23
BRONX,2019-10-03,41
BRONX,2018-04-15,53
BROOKLYN,2018-06-06,35
BROOKLYN,2018-06-22,36
MANHATTAN,2018-01-01,18
BRONX,2018-01-25,65
MANHATTAN,2018-02-07,99
STATEN ISLAND,2018-02-24,1
QUEENS,2018-03-12,21
QUEENS,2018-04-25,43
BRONX,2018-08-14,39
MANHATTAN,2018-08-30,46
MANHATTAN,2018-09-25,5
MANHATTAN,2018-10-07,19
QUEENS,2019-02-03,23
MANHATTAN,2019-04-10,84
MANHATTAN,2019-04-22,42
BRONX,2019-06-19,60
MANHATTAN,2019-07-09,132
BRONX,2019-09-21,76
STATEN ISLAND,2019-10-15,1
BROOKLYN,2019-11-08,44
MANHATTAN,2018-11-09,69
STATEN ISLAND,2018-11-12,2
BRONX,2019-01-23,36
STATEN ISLAND,2019-01-25,32
MANHATTAN,2019-01-27,52
BRONX,2019-03-10,29
BRONX,2019-04-11,27
STATEN ISLAND,2019-06-02,5
QUEENS,2019-06-07,20
STATEN ISLAND,2019-06-24,4
MANHATTAN,2019-08-08,126
QUEENS,2019-10-14,11
STATEN ISLAND,2019-11-20,28
BRONX,2019-12-09,39
BROOKLYN,2019-12-10,13
MANHATTAN,2019-12-11,129
MANHATTAN,2018-03-02,39
BRONX,2018-03-28,62
BROOKLYN,2018-04-12,54
BROOKLYN,2018-05-23,20
QUEENS,2018-01-26,28
QUEENS,2018-03-13,16
BROOKLYN,2018-04-10,70
QUEENS,2018-07-10,40
STATEN ISLAND,2018-10-02,3
BROOKLYN,2018-11-29,38
QUEENS,2019-01-01,34
MANHATTAN,2019-02-07,253
STATEN ISLAND,2019-03-09,8
QUEENS,2019-03-27,9
QUEENS,2019-04-01,21
QUEENS,2019-04-20,28
MANHATTAN,2019-06-20,61
STATEN ISLAND,2019-06-26,4
QUEENS,2019-06-29,18
BRONX,2019-07-08,32
BROOKLYN,2019-07-10,17
BRONX,2019-07-14,55
MANHATTAN,2019-07-17,54
BRONX,2019-08-12,33
STATEN ISLAND,2019-09-09,2
QUEENS,2019-12-04,5
QUEENS,2019-12-08,18
STATEN ISLAND,2019-12-12,43
BROOKLYN,2019-12-22,13
BRONX,2018-07-23,50
QUEENS,2018-08-04,34
BRONX,2018-08-08,44
BROOKLYN,2018-08-28,54
QUEENS,2018-10-03,46
QUEENS,2018-10-19,25
BROOKLYN,2018-11-14,43
STATEN ISLAND,2019-02-01,8
BROOKLYN,2019-02-26,27
STATEN ISLAND,2019-03-20,3
BRONX,2019-04-25,60
STATEN ISLAND,2019-07-21,8
BROOKLYN,2019-07-28,62
QUEENS,2019-09-21,65
QUEENS,2019-09-26,3
STATEN ISLAND,2019-09-23,1
MANHATTAN,2019-10-28,76
BRONX,2019-12-10,51
BRONX,2018-02-05,48
BROOKLYN,2018-02-14,61
MANHATTAN,2018-02-17,51
MANHATTAN,2018-02-20,73
BRONX,2018-02-24,65
STATEN ISLAND,2018-03-05,4
QUEENS,2018-03-14,95
MANHATTAN,2018-01-25,95
QUEENS,2018-02-14,96
BROOKLYN,2018-04-20,45
STATEN ISLAND,2018-04-22,17
STATEN ISLAND,2018-10-01,4
BRONX,2018-10-25,19
BROOKLYN,2018-10-30,22
QUEENS,2018-11-12,17
BRONX,2018-11-20,41
BROOKLYN,2019-01-11,36
BROOKLYN,2019-01-16,98
MANHATTAN,2019-02-12,37
STATEN ISLAND,2019-03-08,6
MANHATTAN,2019-04-01,27
BRONX,2019-04-02,51
BRONX,2019-04-28,37
STATEN ISLAND,2019-05-19,5
QUEENS,2019-06-19,129
QUEENS,2019-08-02,56
BROOKLYN,2019-08-25,34
BRONX,2019-09-03,59
QUEENS,2019-10-27,10
MANHATTAN,2019-12-03,127
BRONX,2018-07-30,51
STATEN ISLAND,2018-07-22,24
BROOKLYN,2018-07-31,26
BRONX,2018-08-21,24
BROOKLYN,2018-05-06,83
BROOKLYN,2018-09-14,111
MANHATTAN,2018-10-12,57
QUEENS,2018-11-09,52
BROOKLYN,2018-11-25,27
BRONX,2018-12-05,26
STATEN ISLAND,2019-02-21,18
STATEN ISLAND,2019-03-04,2
QUEENS,2019-05-19,27
BROOKLYN,2019-08-01,52
BROOKLYN,2019-08-28,84
BRONX,2019-09-15,47
MANHATTAN,2019-09-15,24
STATEN ISLAND,2019-10-03,29
MANHATTAN,2019-12-21,212
QUEENS,2018-01-30,17
BROOKLYN,2018-02-22,32
MANHATTAN,2018-06-22,59
BRONX,2018-07-13,61
BROOKLYN,2018-01-31,29
QUEENS,2018-02-09,54
BRONX,2018-03-10,72
MANHATTAN,2018-05-07,119
BROOKLYN,2018-05-17,37
STATEN ISLAND,2018-06-10,10
MANHATTAN,2018-09-09,19
MANHATTAN,2018-12-17,54
MANHATTAN,2019-05-31,20
QUEENS,2019-09-14,35
QUEENS,2019-12-03,48
MANHATTAN,2018-06-06,63
QUEENS,2018-09-01,36
BROOKLYN,2018-10-26,27
STATEN ISLAND,2018-10-26,9
BRONX,2018-12-15,26
STATEN ISLAND,2018-12-21,3
BROOKLYN,2019-01-12,85
MANHATTAN,2019-04-02,170
BRONX,2019-05-07,53
STATEN ISLAND,2019-07-20,2
BROOKLYN,2019-10-09,57
STATEN ISLAND,2019-11-07,2
STATEN ISLAND,2018-01-15,5
BRONX,2018-02-27,47
MANHATTAN,2018-05-03,119
BROOKLYN,2018-05-15,49
QUEENS,2018-06-16,32
QUEENS,2018-07-03,20
QUEENS,2018-08-20,15
QUEENS,2018-10-24,10
BRONX,2018-12-25,10
STATEN ISLAND,2019-01-26,9
BRONX,2019-03-09,35
BRONX,2019-03-23,32
STATEN ISLAND,2019-04-11,9
STATEN ISLAND,2019-04-25,9
BROOKLYN,2019-06-23,36
BRONX,2019-07-29,28
STATEN ISLAND,2019-08-08,11
STATEN ISLAND,2019-09-06,2
MANHATTAN,2019-10-20,12
BRONX,2019-12-06,35
STATEN ISLAND,2019-12-14,7
BRONX,2018-01-27,68
QUEENS,2018-02-23,28
BROOKLYN,2018-03-16,67
BRONX,2018-07-02,39
STATEN ISLAND,2018-08-13,6
STATEN ISLAND,2018-12-15,16
QUEENS,2018-12-16,8
MANHATTAN,2019-01-02,70
MANHATTAN,2019-01-06,83
BRONX,2019-01-13,47
MANHATTAN,2019-02-28,78
QUEENS,2019-03-30,18
MANHATTAN,2019-04-11,44
BROOKLYN,2019-04-21,21
BROOKLYN,2019-07-24,24
STATEN ISLAND,2019-07-31,3
BRONX,2019-08-29,34
BRONX,2019-09-27,48
QUEENS,2019-10-21,47
QUEENS,2019-11-17,10
BRONX,2019-11-18,6
QUEENS,2019-11-26,7
QUEENS,2019-12-10,24
STATEN ISLAND,2019-12-23,3
QUEENS,2019-12-31,17
STATEN ISLAND,2018-06-25,4
STATEN ISLAND,2018-07-11,20
MANHATTAN,2018-09-21,64
BROOKLYN,2018-09-22,57
QUEENS,2018-11-23,11
QUEENS,2018-12-02,28
BRONX,2018-12-04,17
BRONX,2019-01-01,34
BRONX,2019-02-22,57
STATEN ISLAND,2019-05-15,5
BRONX,2019-05-20,92
MANHATTAN,2019-06-02,17
BROOKLYN,2019-08-03,32
QUEENS,2018-03-23,56
MANHATTAN,2018-03-26,89
STATEN ISLAND,2018-06-07,6
MANHATTAN,2018-07-01,21
QUEENS,2018-08-01,14
BROOKLYN,2018-09-03,25
STATEN ISLAND,2018-11-08,8
STATEN ISLAND,2018-11-21,3
QUEENS,2018-12-12,8
STATEN ISLAND,2018-12-18,12
BRONX,2019-03-01,27
BROOKLYN,2019-05-03,82
BROOKLYN,2019-06-07,77
BRONX,2019-10-18,31
MANHATTAN,2019-12-15,12
MANHATTAN,2018-01-08,41
QUEENS,2018-06-10,30
MANHATTAN,2018-07-20,22
STATEN ISLAND,2018-08-02,6
MANHATTAN,2018-09-13,107
BROOKLYN,2018-10-01,17
STATEN ISLAND,2018-10-10,12
MANHATTAN,2018-10-22,64
MANHATTAN,2018-12-24,9
QUEENS,2019-02-02,41
BRONX,2019-03-04,35
STATEN ISLAND,2019-03-14,6
QUEENS,2019-04-11,11
BRONX,2019-05-14,42
STATEN ISLAND,2019-05-25,14
QUEENS,2019-06-03,6
BROOKLYN,2019-06-21,56
QUEENS,2019-07-10,15
BRONX,2019-08-03,45
QUEENS,2019-09-22,9
BRONX,2019-09-29,31
BRONX,2019-10-30,99
MANHATTAN,2019-11-15,57
STATEN ISLAND,2019-12-18,2
STATEN ISLAND,2018-02-18,5
BRONX,2018-03-07,33
BRONX,2018-05-30,40
BRONX,2018-06-03,41
BROOKLYN,2018-07-01,44
MANHATTAN,2018-09-01,42
QUEENS,2018-09-10,6
BRONX,2018-11-14,38
MANHATTAN,2018-11-14,92
BROOKLYN,2019-01-18,59
QUEENS,2019-02-15,18
STATEN ISLAND,2019-02-16,14
MANHATTAN,2019-03-21,68
STATEN ISLAND,2019-04-23,16
BRONX,2019-06-12,40
BRONX,2019-06-21,47
QUEENS,2019-08-08,27
QUEENS,2019-08-31,18
BROOKLYN,2018-09-11,56
BROOKLYN,2018-09-28,34
BROOKLYN,2018-11-07,57
MANHATTAN,2018-11-26,76
MANHATTAN,2019-01-23,75
STATEN ISLAND,2019-04-14,4
MANHATTAN,2019-06-12,65
MANHATTAN,2019-06-18,72
QUEENS,2019-06-27,98
MANHATTAN,2019-09-17,126
MANHATTAN,2019-11-17,19
MANHATTAN,2018-04-28,34
BROOKLYN,2018-05-01,96
BROOKLYN,2018-03-17,72
BRONX,2018-04-08,50
STATEN ISLAND,2018-10-25,3
BROOKLYN,2018-12-20,46
STATEN ISLAND,2019-02-05,4
QUEENS,2019-03-04,19
QUEENS,2019-03-08,100
QUEENS,2019-03-22,15
MANHATTAN,2019-03-28,37
QUEENS,2019-05-07,12
BRONX,2019-10-07,33
BROOKLYN,2018-02-09,58
BROOKLYN,2018-02-20,84
STATEN ISLAND,2018-02-26,11
QUEENS,2018-03-05,22
BROOKLYN,2018-03-05,33
MANHATTAN,2018-05-26,32
QUEENS,2018-06-23,26
QUEENS,2018-07-06,31
QUEENS,2018-07-30,18
QUEENS,2018-09-13,7
QUEENS,2018-09-14,34
MANHATTAN,2018-10-16,64
BRONX,2018-12-08,21
MANHATTAN,2018-12-19,80
BROOKLYN,2019-01-07,37
MANHATTAN,2019-01-24,90
BROOKLYN,2019-04-11,93
MANHATTAN,2019-04-28,9
BROOKLYN,2019-07-19,44
MANHATTAN,2019-11-01,48
BRONX,2019-12-07,40
MANHATTAN,2018-07-27,42
STATEN ISLAND,2018-09-27,4
BRONX,2018-12-14,23
BROOKLYN,2019-01-27,49
BRONX,2019-02-03,46
STATEN ISLAND,2019-02-11,4
BRONX,2019-04-03,49
STATEN ISLAND,2019-05-22,5
MANHATTAN,2019-09-27,17
MANHATTAN,2019-11-13,46
STATEN ISLAND,2018-02-03,4
BRONX,2018-02-26,60
STATEN ISLAND,2018-03-08,5
QUEENS,2018-03-11,33
BROOKLYN,2018-05-03,37
QUEENS,2018-05-05,37
BROOKLYN,2018-01-03,26
MANHATTAN,2018-01-03,44
BRONX,2018-03-02,28
QUEENS,2018-03-02,31
BRONX,2018-03-03,52
BROOKLYN,2018-03-07,21
MANHATTAN,2018-03-22,135
STATEN ISLAND,2018-04-17,2
BROOKLYN,2018-04-19,44
MANHATTAN,2018-05-30,90
QUEENS,2018-06-02,37
MANHATTAN,2018-06-08,62
MANHATTAN,2018-08-23,154
QUEENS,2018-10-26,12
BRONX,2019-01-03,70
BRONX,2019-03-05,64
QUEENS,2019-03-11,128
MANHATTAN,2019-03-13,93
MANHATTAN,2019-04-06,13
BRONX,2019-04-21,36
MANHATTAN,2019-05-03,24
STATEN ISLAND,2019-05-07,15
BROOKLYN,2019-06-04,102
BRONX,2019-06-16,30
MANHATTAN,2019-07-19,75
BRONX,2019-10-24,27
BRONX,2018-08-15,62
BROOKLYN,2018-09-21,45
MANHATTAN,2018-09-23,12
MANHATTAN,2019-01-26,41
MANHATTAN,2019-05-08,139
MANHATTAN,2019-06-05,66
MANHATTAN,2019-12-28,9
STATEN ISLAND,2018-01-23,6
MANHATTAN,2018-02-16,72
BROOKLYN,2018-04-09,61
BRONX,2018-04-24,85
STATEN ISLAND,2018-05-16,31
STATEN ISLAND,2018-01-19,8
BROOKLYN,2018-03-04,66
STATEN ISLAND,2018-03-28,6
STATEN ISLAND,2018-03-31,9
BROOKLYN,2018-04-14,54
BRONX,2018-05-29,38
MANHATTAN,2018-05-29,60
QUEENS,2018-06-28,20
BRONX,2018-07-15,66
STATEN ISLAND,2018-10-08,3
BROOKLYN,2018-11-16,123
BROOKLYN,2019-01-29,39
STATEN ISLAND,2019-03-15,3
BROOKLYN,2019-05-26,39
STATEN ISLAND,2019-08-28,1
STATEN ISLAND,2019-08-30,1
QUEENS,2019-11-24,9
QUEENS,2019-12-07,16
BRONX,2018-01-02,59
QUEENS,2018-01-27,31
BROOKLYN,2018-06-18,28
BRONX,2018-06-25,17
STATEN ISLAND,2018-07-02,5
BRONX,2018-07-14,84
MANHATTAN,2018-08-22,89
MANHATTAN,2018-09-03,15
BROOKLYN,2018-10-12,41
QUEENS,2018-10-20,30
BRONX,2018-12-10,17
BRONX,2018-12-22,38
QUEENS,2019-01-08,16
QUEENS,2019-02-08,34
MANHATTAN,2019-02-10,23
QUEENS,2019-02-19,15
QUEENS,2019-03-09,41
STATEN ISLAND,2019-03-10,7
QUEENS,2019-05-21,21
BROOKLYN,2019-05-29,62
QUEENS,2019-06-18,92
MANHATTAN,2019-06-24,45
BROOKLYN,2019-06-25,24
MANHATTAN,2019-06-30,19
BROOKLYN,2019-07-23,24
STATEN ISLAND,2019-12-04,21
MANHATTAN,2018-07-10,164
QUEENS,2018-07-22,16
BRONX,2018-07-31,28
BROOKLYN,2018-09-05,17
STATEN ISLAND,2018-09-09,7
MANHATTAN,2018-10-04,149
BROOKLYN,2018-12-14,33
STATEN ISLAND,2019-01-16,5
BROOKLYN,2019-03-24,31
BRONX,2019-06-27,49
MANHATTAN,2019-07-10,96
MANHATTAN,2019-07-14,28
BRONX,2019-07-18,34
QUEENS,2019-07-24,52
BROOKLYN,2019-08-09,107
QUEENS,2019-09-07,57
BRONX,2019-10-05,11
BRONX,2019-12-25,2
QUEENS,2019-12-30,4
BRONX,2018-01-16,36
QUEENS,2018-04-23,27
QUEENS,2018-05-08,76
MANHATTAN,2018-01-16,100
BRONX,2018-08-16,49
BRONX,2018-09-01,71
MANHATTAN,2018-09-07,105
BRONX,2018-10-21,34
BROOKLYN,2019-02-24,23
STATEN ISLAND,2019-08-07,1
MANHATTAN,2019-08-10,23
QUEENS,2019-08-23,6
BROOKLYN,2019-09-22,30
BROOKLYN,2019-10-29,18
BRONX,2019-11-06,88
BRONX,2019-11-09,30
BROOKLYN,2018-07-22,58
STATEN ISLAND,2018-07-31,12
MANHATTAN,2018-08-09,89
BRONX,2018-06-22,40
BROOKLYN,2018-12-29,34
QUEENS,2019-03-07,158
MANHATTAN,2019-03-11,48
BRONX,2019-08-17,57
QUEENS,2019-09-04,81
STATEN ISLAND,2019-09-26,1
QUEENS,2019-10-29,4
BRONX,2019-11-29,12
QUEENS,2018-01-28,31
BRONX,2018-01-30,30
MANHATTAN,2018-04-01,24
MANHATTAN,2018-05-25,59
QUEENS,2018-06-24,22
QUEENS,2018-02-03,22
STATEN ISLAND,2018-03-17,9
QUEENS,2018-06-08,51
STATEN ISLAND,2018-07-01,11
STATEN ISLAND,2018-08-19,2
QUEENS,2018-11-29,18
QUEENS,2018-12-27,15
MANHATTAN,2018-12-29,28
BROOKLYN,2019-01-28,26
STATEN ISLAND,2019-05-03,11
QUEENS,2019-06-16,21
QUEENS,2019-07-01,5
BRONX,2019-08-06,66
STATEN ISLAND,2019-08-24,1
BROOKLYN,2019-10-08,23
STATEN ISLAND,2019-10-30,1
BROOKLYN,2019-12-29,16
MANHATTAN,2018-07-26,132
QUEENS,2018-07-11,32
BROOKLYN,2018-08-13,24
BRONX,2018-09-07,54
BROOKLYN,2018-10-29,38
QUEENS,2019-01-11,16
MANHATTAN,2019-02-21,96
BRONX,2019-03-20,61
BRONX,2019-03-21,36
QUEENS,2019-04-12,9
BRONX,2019-04-26,18
MANHATTAN,2019-05-10,108
STATEN ISLAND,2019-07-09,7
QUEENS,2019-08-07,3
MANHATTAN,2019-09-10,63
BRONX,2019-09-22,75
QUEENS,2019-09-24,42
BRONX,2019-12-27,11
BRONX,2018-02-04,70
BRONX,2018-03-12,36
MANHATTAN,2018-05-05,26
BROOKLYN,2018-06-14,39
QUEENS,2018-06-20,46
STATEN ISLAND,2018-06-30,5
BROOKLYN,2018-02-08,33
BRONX,2018-03-25,49
QUEENS,2018-05-10,38
BROOKLYN,2018-05-26,36
MANHATTAN,2018-05-28,40
BROOKLYN,2018-07-30,46
BRONX,2018-08-12,87
QUEENS,2018-09-24,18
MANHATTAN,2019-02-02,36
MANHATTAN,2019-02-25,138
MANHATTAN,2019-03-19,137
QUEENS,2019-04-10,12
MANHATTAN,2019-06-13,121
STATEN ISLAND,2019-11-14,6
MANHATTAN,2018-07-21,16
BROOKLYN,2018-08-12,60
STATEN ISLAND,2018-10-04,34
BRONX,2018-10-18,34
STATEN ISLAND,2018-10-31,9
MANHATTAN,2018-11-07,46
BROOKLYN,2018-12-02,22
QUEENS,2019-01-17,13
MANHATTAN,2019-01-19,23
QUEENS,2019-03-13,102
MANHATTAN,2019-05-02,52
MANHATTAN,2019-06-04,40
QUEENS,2019-06-06,8
STATEN ISLAND,2019-07-01,5
STATEN ISLAND,2019-07-08,9
BRONX,2019-08-24,34
QUEENS,2019-09-27,33
BROOKLYN,2019-09-28,32
BROOKLYN,2019-11-17,16
BROOKLYN,2019-12-14,28
BROOKLYN,2018-01-27,77
STATEN ISLAND,2018-01-07,5
MANHATTAN,2018-03-09,90
BROOKLYN,2018-04-07,66
MANHATTAN,2018-04-10,48
BROOKLYN,2018-08-04,38
STATEN ISLAND,2018-02-07,2
BROOKLYN,2018-02-26,34
MANHATTAN,2018-02-27,144
QUEENS,2018-05-22,33
BROOKLYN,2018-11-08,63
BROOKLYN,2019-03-31,24
STATEN ISLAND,2019-04-06,1
QUEENS,2019-05-29,11
QUEENS,2019-07-11,96
STATEN ISLAND,2019-08-04,9
BROOKLYN,2019-08-07,146
QUEENS,2019-10-18,68
MANHATTAN,2019-12-22,166
QUEENS,2018-02-13,46
MANHATTAN,2018-05-15,126
BROOKLYN,2018-06-23,56
MANHATTAN,2018-07-22,16
BRONX,2018-10-30,62
QUEENS,2018-11-14,36
MANHATTAN,2019-01-21,53
MANHATTAN,2019-02-24,22
BROOKLYN,2019-03-09,99
STATEN ISLAND,2019-02-04,1
MANHATTAN,2019-04-14,16
MANHATTAN,2019-05-18,8
MANHATTAN,2019-05-28,19
QUEENS,2019-07-12,109
QUEENS,2019-07-13,30
BRONX,2019-07-28,62
MANHATTAN,2019-09-20,49
STATEN ISLAND,2019-09-28,2
MANHATTAN,2019-10-25,31
BROOKLYN,2019-11-03,33
MANHATTAN,2019-12-05,127
QUEENS,2019-12-14,17
BRONX,2019-12-23,18
MANHATTAN,2018-07-13,84
MANHATTAN,2018-08-11,24
BROOKLYN,2018-09-02,66
QUEENS,2018-10-01,31
STATEN ISLAND,2018-10-09,2
BROOKLYN,2018-11-28,23
STATEN ISLAND,2019-01-14,4
QUEENS,2019-02-09,63
MANHATTAN,2019-02-26,215
STATEN ISLAND,2019-05-08,11
QUEENS,2019-05-24,30
QUEENS,2019-06-26,109
STATEN ISLAND,2019-07-03,12
MANHATTAN,2019-07-05,85
BROOKLYN,2019-09-12,68
BRONX,2019-09-28,62
STATEN ISLAND,2019-11-15,4
STATEN ISLAND,2018-02-15,11
STATEN ISLAND,2018-02-19,6
QUEENS,2018-02-27,69
QUEENS,2018-03-07,37
BROOKLYN,2018-03-10,69
BRONX,2018-03-30,40
STATEN ISLAND,2018-05-10,6
STATEN ISLAND,2018-06-14,5
MANHATTAN,2018-06-19,124
MANHATTAN,2018-02-11,23
STATEN ISLAND,2018-03-16,7
MANHATTAN,2018-05-20,28
BRONX,2018-06-02,62
BROOKLYN,2018-10-08,45
STATEN ISLAND,2018-12-12,5
STATEN ISLAND,2019-01-29,3
BROOKLYN,2019-07-13,45
BRONX,2019-07-22,28
BRONX,2019-07-23,42
MANHATTAN,2019-08-09,47
QUEENS,2019-11-11,55
BROOKLYN,2019-12-06,12
BRONX,2019-12-17,31
STATEN ISLAND,2018-09-25,3
MANHATTAN,2018-10-13,49
BRONX,2018-12-18,20
BROOKLYN,2019-01-26,39
STATEN ISLAND,2019-02-15,2
QUEENS,2019-03-03,17
STATEN ISLAND,2019-04-18,7
STATEN ISLAND,2019-05-18,5
BRONX,2019-06-24,21
BRONX,2019-08-08,45
BROOKLYN,2019-08-27,59
BRONX,2019-11-11,20
MANHATTAN,2018-02-03,27
STATEN ISLAND,2018-05-09,6
STATEN ISLAND,2018-06-15,8
BRONX,2018-07-03,53
QUEENS,2018-01-02,26
BROOKLYN,2018-01-30,39
STATEN ISLAND,2018-03-03,1
BRONX,2018-03-29,51
BRONX,2018-06-21,25
BROOKLYN,2018-08-16,43
BRONX,2018-10-04,32
MANHATTAN,2018-10-14,22
BRONX,2019-02-27,20
BROOKLYN,2019-03-03,31
MANHATTAN,2019-04-07,21
BROOKLYN,2019-05-14,77
BRONX,2019-06-08,81
BROOKLYN,2019-06-09,35
BRONX,2019-06-17,14
MANHATTAN,2019-08-11,18
BROOKLYN,2019-11-04,15
BROOKLYN,2019-11-18,2
BRONX,2018-05-23,67
BROOKLYN,2018-09-19,53
BROOKLYN,2018-11-22,13
BRONX,2018-11-23,37
QUEENS,2018-12-05,30
BRONX,2018-12-31,20
BROOKLYN,2019-03-02,32
MANHATTAN,2019-07-26,63
QUEENS,2019-07-27,8
MANHATTAN,2019-09-06,56
STATEN ISLAND,2018-06-20,6
BROOKLYN,2018-03-02,60
BROOKLYN,2018-05-07,45
MANHATTAN,2018-06-10,18
STATEN ISLAND,2018-07-05,5
BROOKLYN,2018-07-21,54
MANHATTAN,2018-07-29,27
QUEENS,2018-08-25,20
BROOKLYN,2018-09-12,51
STATEN ISLAND,2018-10-27,4
BROOKLYN,2018-11-10,42
BRONX,2018-11-17,36
MANHATTAN,2019-02-04,81
BRONX,2019-02-08,35
MANHATTAN,2019-03-10,23
BROOKLYN,2019-03-21,97
BROOKLYN,2019-03-29,105
BROOKLYN,2019-04-02,72
BRONX,2019-05-30,88
QUEENS,2019-06-10,20
QUEENS,2019-08-14,20
MANHATTAN,2019-08-21,26
QUEENS,2019-09-16,15
MANHATTAN,2018-01-11,50
QUEENS,2018-02-24,33
MANHATTAN,2018-04-17,128
QUEENS,2018-05-31,24
BROOKLYN,2018-06-01,33
QUEENS,2018-08-10,23
BRONX,2018-10-19,33
QUEENS,2018-11-04,15
STATEN ISLAND,2018-11-04,6
BROOKLYN,2019-01-06,54
BROOKLYN,2019-04-12,99
STATEN ISLAND,2019-05-02,27
BROOKLYN,2019-08-12,83
BRONX,2019-09-17,24
MANHATTAN,2019-09-21,20
BRONX,2019-10-13,32
STATEN ISLAND,2019-10-27,5
STATEN ISLAND,2019-12-01,8
BROOKLYN,2018-08-23,32
BRONX,2018-09-05,68
BRONX,2018-09-22,40
BROOKLYN,2018-10-14,40
BROOKLYN,2018-10-28,24
BRONX,2018-10-29,50
STATEN ISLAND,2018-12-07,6
BRONX,2019-01-10,64
BRONX,2019-03-14,41
BROOKLYN,2019-04-28,16
